OpenAI,https://openai.com/,MLOps/Platform,"$1,000,000,000","Microsoft, Change.org, Khosla Ventures, Amazon Web Services, Infosys, Peter Thiel, Reid Hoffman, Y Combinator",2015,"San Francisco, CA",AI Research and deployment,Y
Anthropic,https://www.anthropic.com/,Text,"$700,000,000","Metaplanet Holdings, Caroline Ellison, Nishad Singh, Samuel Bankman-Fried, Center for Emerging Risk Research, Dustin Moskovitz, Eric Schmidt, Jaan Tallinn, James McClave",2021,"San Francisco, CA",Text Generation,Y
Scale AI,https://scale.com/,MLOps/Platform,"$602,860,000","Y Combinator, Accel, Index Partners, Founders Fund, Tiger Global, Coatue, Greenoaks, Wellington Management, Durable Capital Partners, Dragoneer Investment Group,  Thrive Capital, Spark Capital, Next Play Ventures",2016,"San Francisco, CA",Data-Centric ML Lifecycle,
Insilico,https://insilico.com/,Bio,"$402,000,000","Deep Knowledge Ventures, A-Level Capital, Jim Mellon, GSK, BOLD Capital Partners, Juvenescence, Pavilion Capital, WuXi Healthcare Ventures, Baidu Ventures, Eight Roads Ventures, F-Prime Capital, Lilly Asia Ventures, Qiming Venture Partners, Sinovation Ventures, B Capital Group, CPE, Deerfield Management, Formic Ventures, Lake Bleu Capital, Maison Capital, Mirae Asset Capital, OrbiMed Advisors, President International Development, Sage Partners, Sequoia Capital China, Warburg Pincus, Bohai Huamei, Prosperity7 Ventures, Wilson Sonsini Goodrich & Rosati, Bill & Melinda Gates Foundation",2014,Hong Kong,Protein & drug design,
Dialpad,https://www.dialpad.com/,Audio,"$400,000,000","Andreessen Horowitz, GV, SoftBank, ICONIQ Capital, Amasia, and 11 others",2011,"San Francisco, CA",Team/Customer Communications,Y
Grammarly,https://www.grammarly.com/,Text,"$400,000,000","General Catalyst, BlackRock, Baillie Gifford, IVP, Sozo Ventures, and 3 others",2009,"San Francisco, CA",Writing/Editing,M
ASAPP,https://www.asapp.com/,Chatbot/Conversational AI,"$380,000,000","Fidelity Management and Research Company, Dragoneer Investment Group, HOF Capital, Emergence, Telstra Ventures, and 11 others",2014,"New York, NY",Contact Center,Y
GitHub Copilot,https://github.com/features/copilot,Code,"$350,500,000","EB Exchange Funds, 3Spoke Capital, Frazier Group, IVP, Markmel Company, Olam Capital, Samsung NEXT Ventures, Section Partners, Sequoia Capital, Spring Camp, Thrive Capital, TrueBridge Capital Partners, Andreessen Horowitz, SV Angel",2008,"San Francisco, CA",Code Generation,Y
Lightricks,https://www.lightricks.com/,Image,"$335,000,000","Viola Ventures, ClalTech, Insight Partners, Goldman Sachs, Altshuler Shaham, Clal Venture Capital, Goldman Sachs Asset Management, Greycroft, Hanaco Venture Capital, Harel Insurance Investments & Financial Services, Migdal Insurance, Shavit Capital Fund, Charli D'Amelio, Dixie D'Amelio, Heidi D'Amelio, Marc D'Amelio",2013,Israel,AI Image generation,
Anyscale,https://www.anyscale.com/,MLOps/Platform,"$259,000,000","Andreessen Horowitz, Addition, New Enterprise Associates, Intel Capital, Ant Group, and 6 others",2019,"San Francisco, CA",Platform / application scaling,Y
DupDub,https://www.dupdub.com/,Audio,"$251,620,000","Volkswagen Group China, Alphabet, Susquehanna Asia Investments, Sequoia Capital China, ZhenFund",2012,"Beijing, China",Voiceovers,Y
Inflection AI,inflection.ai,MLOps/Platform,"$225,000,000",Greylock Partners,2022,United States,cross-industry generative interfaces,
Observe.ai,https://www.observe.ai/,Chatbot/Conversational AI,"$214,000,000","Nexus Venture Partners, Y Combinator, Menlo Ventures, SoftBank Vision Fund, Emergent Ventures, and 13 others",2017,"San Francisco, CA",Contact Center,Y
Weights & Biases,https://wandb.ai/site,MLOps/Platform,"$200,000,000","Coatue, Insight Partners, NVIDIA, Trinity Ventures, Bond, and 9 others",2017,"San Francisco, CA",Model development,Y
Ada,https://www.ada.cx/,Chatbot/Conversational AI,"$191,000,000","Accel, Bessemer Venture Partners, FirstMark, Spark Capital, RFI, and 12 others",2016,"Toronto, Canada",Automated Virtual Agents,Y
PrimerAI,https://primer.ai/,Summarization,"$168,000,000","DCVC, Lux Capital, Addition, Avalon Ventures, Amplify Partners, and 12 others",2015,"San Francisco, CA",Summarization,Y
Cohere.ai,https://cohere.ai/,MLOps/Platform,"$165,000,000","Tiger Global Management, Index Ventures, Section 32, Radical Ventures, Fei-Fei Li, and 3 others",2019,"Toronto, Canada",NLP Platform,Y
Hugging Face,https://huggingface.co/,MLOps/Platform,"$160,000,000","Betaworks, Lux Capital, Addition, Ronny Conway, Sequoia Capital, and 20 others",2016,"New York, NY",ML Models,Y
Cresta,https://cresta.com/,Chatbot/Conversational AI,"$157,100,000","345 Partners, Allen & Company, Andreas Von Bechtolsheim, Andreessen Horowitz, Aviv Nevo, CarMax, Five9, Genesys, Greylock Partners, JPMorgan Chase, Mark Leslie, Porsche Ventures, Sequoia Capital, Tech Square Ventures, Tiger Global Management, Zoom Video Communications",2017,"San Francisco, CA",Contact Center / Customer support,Y
Glean,https://www.glean.com/,Semantic Search,"$156,000,000","General Catalyst, Kleiner Perkins, Lightspeed Venture Partners, Sequoia Capital, Slack Fund",2019,"Palo Alto, CA",Knowledge,N
Jasper.ai,https://www.jasper.ai/,Text,"$146,690,000","Bessemer Venture Partners, Coatue Management, Foundation Capital, Founders Circle Capital, G Ventures (VC), Hack VC, HubSpot Ventures, Insight Partners, IVP, Liquid 2 Ventures, Y Combinator, Z Nation Lab",2021,"Austin, United States",Content/Marketing,Y
OctoML,https://octoml.ai/,MLOps/Platform,"$132,000,000","Tiger Global Management, Amplify Partners, Madrona, Addition",2019,"Seattle, WA",Model development,Y
Soul Machines,soulmachines.com,Image,"$119,500,000","Horizons Ventures, ICONIQ Capital, Daimler Financial Services, University of Auckland Inventors Fund, Lakestar, Salesforce Ventures, Temasek, Cleveland Avenue, Liberty City Ventures, SoftBank Group, Solasta Ventures",2016,United States,visual media generation,
AI21 Labs,https://www.ai21.com/,MLOps/Platform,"$119,000,000","Pitango Venture Capital, Ahren Innovation Capital, Walden Catalyst, TPY Capital, Mark Leslie, and 1 others",2017,"Tel Aviv, Israel",NLP / content re-writing,Y
Wordtune,https://www.wordtune.com/,Text,"$119,000,000","8VC, Ahren Innovation Capital, Amnon Shashua, Mark Leslie, Pitango Venture Capital, TPY Capital, Walden Catalyst",2017,Israel,Content generation,Y
InstaDeep,http://instadeep.com,MLOps/Platform,"$113,650,000","Plug and Play Accelerator, AfricInvest, Endeavor, Alpha Intelligence Capital, BioNTech, CDIB Capital International, Chimera Investments, DB Digital Ventures, G42, Google, Synergie",2014,United Kingdom,industry-specific generative applications,
Woebot Health,https://woebothealth.com/,Chatbot/Conversational AI,"$112,000,000","Social Discovery Ventures, Ltd., AI Fund, L.P., Temasek Holdings Pte., Ltd., BlackRock, Inc., New Enterprise Associates, LLC (NEA), Alumni Ventures Group, LLC (AVG), Gaingels, LLC, Owl Ventures, L.P., Mirae Asset Capital Markets (India) Pvt., Ltd., Jazz Venture Partners, LLC, Kicker Ventures, LLC, Leaps by Bayer, For Good Ventures, Calm Ventures, What If Ventures, LP",2017,"San Francisco, CA",Mental Health / chatbot,Y
